"Organization","School"
"Acabellas","Purdue University"
"Acacia Fraternity","Indiana University"
"Acacia Fraternity","Indiana University of Pennsylvania"
"Acacia Fraternity","James Madison University"
"Acacia Fraternity","Ohio University"
"Acacia Fraternity","Purdue University"
"Acacia Fraternity","The Ohio State University"
"Acacia Fraternity","University of Central Oklahoma"
"Acacia Fraternity","University of Colorado"
"Acacia Fraternity","University of Iowa"
"Acacia Fraternity","University of Nebraska Lincoln"
"Academic Success Group","Northern Arizona University"
"Academic Success Program","Western Carolina University"
"Alpha Beta Chi","Alfred State College"
"Alpha Chi","California State University Chico"
"Alpha Chi Omega","Auburn University"
"Alpha Chi Omega","Baylor University"
"Alpha Chi Omega","Birmingham Southern College"
"Alpha Chi Omega","Boise State University"
"Alpha Chi Omega","Bradley University"
"Alpha Chi Omega","California State University Fullerton"
"Alpha Chi Omega","Central Michigan University"
"Alpha Chi Omega","Clemson University"
"Alpha Chi Omega","Florida Gulf Coast University"
"Alpha Chi Omega","Georgia Tech"
"Alpha Chi Omega","High Point University"
"Alpha Chi Omega","Indiana University"
"Alpha Chi Omega","Iowa State University"
"Alpha Chi Omega","Kansas State University"
"Alpha Chi Omega","Louisiana Tech University"
"Alpha Chi Omega","Loyola University New Orleans"
"Alpha Chi Omega","Marshall University"
"Alpha Chi Omega","Minnesota State University"
"Alpha Chi Omega","Mississippi State University"
"Alpha Chi Omega","Missouri State University"
"Alpha Chi Omega","Oklahoma State University"
"Alpha Chi Omega","Oregon State University"
"Alpha Chi Omega","Penn State University"
"Alpha Chi Omega","Ripon College"
"Alpha Chi Omega","San Diego State University"
"Alpha Chi Omega","Southeast Missouri State University"
"Alpha Chi Omega","Syracuse University"
"Alpha Chi Omega","Texas Christian University"
"Alpha Chi Omega","Texas Tech University"
"Alpha Chi Omega","The Ohio State University"
"Alpha Chi Omega","University of Alabama"
"Alpha Chi Omega","University of Arizona"
"Alpha Chi Omega","University of Arkansas"
"Alpha Chi Omega","University of California Irvine"
"Alpha Chi Omega","University of California Riverside"
"Alpha Chi Omega","University of Colorado"
"Alpha Chi Omega","University of Connecticut"
"Alpha Chi Omega","University of Georgia"
